temp_Norway,temp_Netherlands,temp_Switzerland
999,8.22,7.46
999,13.22,13.81
999,15.62,13.76
999,18.62,18.68
999,18.22,16.53
999,15.42,15.25
999,13.12,10.48
999,6.82,4.82
999,-1.28,-4.37
999,0.72,-0.98
999,1.22,0.44
999,3.32,1.93
999,6.22,6.06
999,13.12,11.19
999,17.62,17.47
999,15.82,17.32
999,16.92,17.59
999,14.32,15.03
999,10.72,9.07
999,7.52,5.56
999,2.52,-1.12
999,2.42,-1.58
999,3.92,-0.07
999,2.82,0.81
999,8.22,10.79
999,13.82,14.45
999,14.02,14.44
999,17.32,19.12
999,17.22,18.56
999,13.42,13.49
999,10.62,10.8
999,5.82,3.19
999,5.51,1.43
999,0.61,-0.15
999,3.71,3.68
999,6.31,7.2
999,7.81,7.7
999,11.91,11.72
999,13.51,14.41
999,17.31,17.32
999,15.61,16.35
999,12.01,11.4
999,9.11,7.54
999,6.11,4.85
999,3.41,-0.59
999,3.01,-0.95
999,3.01,0.17
999,5.41,3.27
999,6.21,5.43
999,12.11,13.85
999,16.11,16.49
999,17.11,17.38
999,17.81,19.25
999,15.01,15.46
999,8.81,7.87
999,5.21,3.74
999,2.81,0.9
999,5.31,2.87
999,4.71,3.06
999,5.71,7.27
999,9.21,8.61
999,11.71,11.63
999,14.91,14.63
999,15.51,17.3
5.33,16.51,18.65
0.24,12.81,14.1
-3.33,7.11,5.08
-6.88,6.61,4.58
-7.47,7.41,4.06
