atmospheric_CO2,CO2_emissions
999,0.0704
999,0.0704
999,0.0704
999,0.0704
999,0.0704
999,0.0704
999,0.0704
999,0.0704
999,0.0704
999,0.0704
999,0.0704
999,0.0704
999,0.074
999,0.074
999,0.074
999,0.074
999,0.074
999,0.074
999,0.074
999,0.074
999,0.074
999,0.074
999,0.074
999,0.074
999,0.0802
999,0.0802
999,0.0802
999,0.0802
999,0.0802
999,0.0802
999,0.0802
999,0.0802
999,0.0802
999,0.0802
999,0.0802
999,0.0802
999,0.0727
999,0.0727
999,0.0727
999,0.0727
999,0.0727
999,0.0727
999,0.0727
999,0.0727
999,0.0727
999,0.0727
999,0.0727
999,0.0727
999,0.0716
999,0.0716
999,0.0716
999,0.0716
999,0.0716
999,0.0716
999,0.0716
999,0.0716
999,0.0716
999,0.0716
999,0.0716
999,0.0716
999,0.0773
999,0.0773
999,0.0773
999,0.0773
999,0.0773
999,0.0773
999,0.0773
999,0.0773
999,0.0773
999,0.0773
999,0.0773
999,0.0773
999,0.0809
999,0.0809
999,0.0809
999,0.0809
999,0.0809
999,0.0809
999,0.0809
999,0.0809
999,0.0809
999,0.0809
999,0.0809
999,0.0809
999,0.0797
999,0.0797
999,0.0797
999,0.0797
999,0.0797
999,0.0797
999,0.0797
999,0.0797
999,0.0797
999,0.0797
999,0.0797
999,0.0797
999,0.0692
999,0.0692
999,0.0692
999,0.0692
999,0.0692
999,0.0692
999,0.0692
999,0.0692
999,0.0692
999,0.0692
999,0.0692
999,0.0692
999,0.0807
999,0.0807
999,0.0807
999,0.0807
999,0.0807
999,0.0807
999,0.0807
999,0.0807
999,0.0807
999,0.0807
999,0.0807
999,0.0807
999,0.0708
999,0.0708
999,0.0708
999,0.0708
999,0.0708
999,0.0708
999,0.0708
999,0.0708
999,0.0708
999,0.0708
999,0.0708
999,0.0708
999,0.0743
999,0.0743
999,0.0743
999,0.0743
999,0.0743
999,0.0743
999,0.0743
999,0.0743
999,0.0743
999,0.0743
999,0.0743
999,0.0743
999,0.0842
999,0.0842
999,0.0842
999,0.0842
999,0.0842
999,0.0842
999,0.0842
999,0.0842
999,0.0842
999,0.0842
999,0.0842
999,0.0842
999,0.0845
999,0.0845
999,0.0845
999,0.0845
999,0.0845
999,0.0845
999,0.0845
999,0.0845
999,0.0845
999,0.0845
999,0.0845
999,0.0845
999,0.0851
999,0.0851
999,0.0851
999,0.0851
999,0.0851
999,0.0851
999,0.0851
999,0.0851
999,0.0851
999,0.0851
999,0.0851
999,0.0851
999,0.0836
999,0.0836
999,0.0836
999,0.0836
999,0.0836
999,0.0836
999,0.0836
999,0.0836
999,0.0836
999,0.0836
999,0.0836
999,0.0836
999,0.0913
999,0.0913
999,0.0913
999,0.0913
999,0.0913
999,0.0913
999,0.0913
999,0.0913
999,0.0913
999,0.0913
999,0.0913
999,0.0913
999,0.0909
999,0.0909
999,0.0909
999,0.0909
999,0.0909
999,0.0909
999,0.0909
999,0.0909
999,0.0909
999,0.0909
999,0.0909
999,0.0909
999,0.0975
999,0.0975
999,0.0975
999,0.0975
999,0.0975
999,0.0975
999,0.0975
999,0.0975
999,0.0975
999,0.0975
999,0.0975
999,0.0975
999,0.09
999,0.09
999,0.09
999,0.09
999,0.09
999,0.09
999,0.09
999,0.09
999,0.09
999,0.09
999,0.09
999,0.09
999,0.0805
999,0.0805
999,0.0805
999,0.0805
999,0.0805
999,0.0805
999,0.0805
999,0.0805
999,0.0805
999,0.0805
999,0.0805
999,0.0805
999,0.0726
999,0.0726
999,0.0726
999,0.0726
999,0.0726
999,0.0726
999,0.0726
999,0.0726
999,0.0726
999,0.0726
999,0.0726
999,0.0726
999,0.0765
999,0.0765
999,0.0765
999,0.0765
999,0.0765
999,0.0765
999,0.0765
999,0.0765
999,0.0765
999,0.0765
999,0.0765
999,0.0765
999,0.0832
999,0.0832
999,0.0832
999,0.0832
999,0.0832
999,0.0832
999,0.0832
999,0.0832
999,0.0832
999,0.0832
999,0.0832
999,0.0832
999,0.0872
999,0.0872
999,0.0872
999,0.0872
999,0.0872
999,0.0872
999,0.0872
999,0.0872
999,0.0872
999,0.0872
999,0.0872
999,0.0872
999,0.0957
999,0.0957
999,0.0957
999,0.0957
999,0.0957
999,0.0957
999,0.0957
999,0.0957
999,0.0957
999,0.0957
999,0.0957
999,0.0957
999,0.1023
999,0.1023
999,0.1023
999,0.1023
999,0.1023
999,0.1023
999,0.1023
999,0.1023
999,0.1023
999,0.1023
999,0.1023
999,0.1023
999,0.0962
999,0.0962
999,0.0962
999,0.0962
999,0.0962
999,0.0962
999,0.0962
999,0.0962
999,0.0962
999,0.0962
999,0.0962
999,0.0962
999,0.1017
999,0.1017
999,0.1017
999,0.1017
999,0.1017
999,0.1017
999,0.1017
999,0.1017
999,0.1017
999,0.1017
999,0.1017
999,0.1017
999,0.1111
999,0.1111
999,0.1111
999,0.1111
999,0.1111
999,0.1111
999,0.1111
999,0.1111
999,0.1111
999,0.1111
999,0.1111
999,0.1111
999,0.1137
999,0.1137
999,0.1137
999,0.1137
999,0.1137
999,0.1137
999,0.1137
999,0.1137
999,0.1137
999,0.1137
999,0.1137
999,0.1137
999,0.1133
999,0.1133
999,0.1133
999,0.1133
999,0.1133
999,0.1133
999,0.1133
999,0.1133
999,0.1133
999,0.1133
999,0.1133
999,0.1133
999,0.1154
999,0.1154
999,0.1154
999,0.1154
999,0.1154
