temp_Iceland,temp_Azores,temp_St_Helena,temp_Rothera
10.82,18.94,16.32,999
10.32,19.64,16.02,999
6.32,18.74,15.32,999
3.52,16.84,16.42,999
-0.48,15.54,16.92,999
0.12,13.84,17.92,999
-3.28,12.44,20.22,999
-3.98,12.34,20.42,999
-0.58,12.24,20.12,999
3.62,13.14,19.12,999
8.22,15.14,18.72,999
11.42,17.84,16.92,999
12.62,19.04,15.52,999
10.22,20.04,15.32,999
12.02,19.64,15.52,999
5.82,17.14,16.02,999
3.02,14.94,16.12,999
1.41,13.44,17.12,999
0.61,12.64,18.32,999
-0.99,12.54,19.42,999
0.61,12.65,19.82,999
3.41,13.55,19.92,999
6.41,14.45,18.52,999
9.41,17.45,17.02,999
10.41,18.25,16.32,999
11.21,20.35,15.22,999
6.41,20.55,15.72,999
0.71,17.65,15.92,999
3.01,14.75,16.92,999
0.01,13.55,17.22,999
-3.39,13.25,18.92,999
-4.19,12.35,19.02,999
-0.09,11.75,19.32,999
1.91,14.05,18.82,999
4.01,14.85,17.52,999
8.41,18.55,16.52,999
10.61,19.55,15.52,999
6.81,21.05,14.72,999
6.81,18.15,14.72,999
2.41,15.75,14.92,999
0.71,15.45,15.92,999
1.01,14.15,17.12,999
-3.99,13.95,19.52,999
-0.99,12.65,21.12,999
0.21,13.85,21.12,999
1.41,14.45,20.82,999
6.01,14.95,19.42,999
9.51,17.65,16.92,999
11.81,19.25,16.32,999
10.81,20.55,15.12,999
7.31,19.45,15.02,999
3.21,17.45,15.92,999
-1.19,16.15,16.52,999
-1.99,13.75,17.92,999
-4.79,13.55,19.32,999
-1.59,14.25,20.32,999
2.81,14.85,20.22,999
3.81,14.52,20.72,999
6.41,15.22,18.92,999
9.41,17.92,16.92,999
13.01,19.22,15.72,999
12.41,20.52,15.12,999
9.41,19.32,16.32,999
5.51,17.62,15.82,999
3.41,14.72,17.22,999
-1.29,14.52,18.52,999
1.61,12.42,19.12,999
-1.39,14.02,19.62,999
0.01,12.92,19.52,999
2.71,13.92,19.12,-2.6
9.01,14.82,17.72,-4.1
7.41,17.82,16.92,-4.9
11.41,19.72,15.82,-9.1
9.81,20.42,14.92,-15.6
6.81,19.52,14.72,-9.7
8.01,16.82,16.22,-10.3
0.21,14.62,17.02,-4
1.5,13.82,17.92,0.3
2.8,11.32,18.92,0.9
-5.5,12.92,20.32,2
-5.3,13.42,20.22,0.9
0.2,14.32,19.72,-3.7
8.3,15.02,18.92,-8.89
10.2,17.12,16.42,-16.29
11.9,19.42,15.32,-7.7
13.3,20.02,15.42,-10.4
8.4,18.82,14.92,-10.2
4.6,18.52,15.62,-5.8
-2.3,18.22,16.62,-2.6
-1.5,16.82,17.92,-0.2
-0.8,15.02,20.12,1.3
1.8,13.32,21.32,-1.4
3.6,14.22,21.52,-3.4
1.17,13.62,20.32,-6.3
5.57,14.72,18.72,-11.4
9.77,18.02,17.92,-8.2
11.27,19.72,15.72,-14.2
11.67,20.92,15.92,-11.7
4.97,20.42,15.92,-13.3
2.17,19.02,15.52,-6.6
1.17,16.72,16.92,-5.8
-0.23,14.12,18.52,0.8
-3.2,13.12,20.12,1.3
0.49,13.62,22.72,-1.6
-0.68,13.02,22.12,999
-1.01,14.52,21.12,999
2.52,15.72,19.52,-11.6
10.5,18.92,17.02,-15.6
12.57,21.02,16.72,-11.9
10,21.42,15.92,-15.2
10.06,19.52,15.92,-10.9
3.47,17.62,16.12,-6.8
1.5,16.52,16.32,-5.2
-3.44,13.12,18.12,0.1
1.73,12.62,19.32,0.8
-2.05,13.42,20.52,999
0.21,13.32,20.12,999
0.2,14.02,20.12,999
7.24,15.52,18.72,999
9.21,17.22,17.72,999
11.78,19.92,15.52,999
11.42,20.32,15.52,999
6.76,20.22,15.12,999
3.7,18.12,15.52,999
-0.61,15.72,16.32,999
-3.89,14.32,17.42,999
-3.17,14.12,18.52,999
-0.5,12.92,19.72,999
-4.32,13.52,19.92,999
-1.37,14.92,19.72,-0.8
8.13,16.32,18.32,-5.9
8.39,18.22,16.92,-13
11.04,19.72,15.92,-16.6
9.82,21.52,16.12,-10
8.13,20.72,15.72,-14.8
5.03,18.12,15.62,-5.4
-0.42,15.32,16.72,-1.8
-0.98,14.33,17.52,1.3
-3.18,12.83,19.32,1.5
-0.29,13.93,20.72,0
-0.19,13.83,21.02,999
1.12,13.93,20.32,999
5.67,15.63,18.72,999
6.45,17.93,17.22,999
10.52,20.13,15.72,999
9.31,20.93,15.52,999
7.31,20.13,15.52,999
5.44,18.43,15.92,999
1.59,16.23,17.12,999
-0.27,16.14,17.62,999
-0.12,13.84,19.52,999
0.67,13.04,20.32,999
2.31,13.64,21.22,999
-2.05,14.24,20.12,999
6.67,16.24,18.52,999
12.13,18.24,17.22,999
11.2,21.24,15.92,999
11.26,22.24,15.62,999
9.76,21.04,15.72,999
4.13,17.84,16.42,999
0.93,16.24,16.52,999
2.97,13.15,17.62,999
1.67,13.25,19.12,999
-0.13,12.85,19.52,999
-0.15,13.95,20.32,999
5.06,13.85,19.72,999
7.44,15.45,17.92,999
9.38,18.05,16.72,999
9.88,19.35,15.22,999
10.5,20.55,15.52,999
4.31,20.75,15.12,999
2.16,19.25,15.52,999
1.88,15.35,15.92,999
-2.34,14.05,17.32,999
-3.64,15.05,19.32,999
-6.03,13.35,19.52,999
-0.43,12.45,19.92,-1.1
5.04,14.25,18.92,-3.5
5.15,17.35,18.52,-5.8
10.06,17.85,16.52,-12.9
13.4,20.45,14.92,-9.6
12.69,21.25,14.52,-10.2
7.77,20.85,14.42,-7.6
1.38,18.25,14.82,-5.5
2.42,14.95,16.12,-4.8
-4.46,15.06,16.82,-0.3
-4.24,12.76,18.92,1.7
2.87,13.06,19.12,-0.2
3.16,12.96,19.72,-2.09
2.09,14.26,18.82,-1.5
6.45,15.86,18.52,-1.7
8.03,17.26,16.82,-4.3
10.3,20.26,15.52,-9.39
8.35,20.86,15.52,-5.6
